alacritty 0.13.2-2
amd-ucode 20240703.e94a2a3b-1
anyrun-git r163.c6101a3-1
base 3-2
base-devel 1-1
blueman 2.4.2-1
bluez 5.77-1
bluez-utils 5.77-1
btop 1.3.2-1
btrfs-progs 6.9.2-1
catppuccin-gtk-theme-mocha 1.0.3-1
cliphist 1:0.5.0-1
colloid-catppuccin-gtk-theme-git 2024.06.18.r13.gc4cf73e-1
dolphin 24.05.2-1
dunst 1.11.0-1
efibootmgr 18-3
eza 0.18.21-1
fastfetch 2.18.1-1
fd 10.1.0-1
firefox 128.0-1
fish 3.7.1-2
fzf 0.54.0-1
git 2.45.2-1
go 2:1.22.5-1
grim 1.4.1-2
grimblast-git r105.65d42dc-1
grub 2:2.12-2
gst-plugin-pipewire 1:1.2.1-1
gtk-engine-murrine 0.98.2-4
hyprcursor 0.1.9-1
hypridle 0.1.2-1
hyprland 0.41.2-2
hyprlang 0.5.2-1
hyprlock 0.4.0-1
hyprpaper 0.7.0-2
hyprpicker 0.3.0-1
hyprwayland-scanner 0.3.10-1
imagemagick 7.1.1.35-1
imv 4.5.0-2
kitty 0.35.2-1
lazygit 0.43.1-1
libnotify 0.8.3-1
libpulse 17.0-3
linux-firmware 20240703.e94a2a3b-1
linux-zen 6.9.9.zen1-1
luarocks 3.11.1-1
neovim 0.10.0-5
network-manager-applet 1.36.0-1
networkmanager 1.48.4-1
noto-fonts-cjk 20230817-2
noto-fonts-emoji 1:2.042-1
npm 10.8.2-1
os-prober 1.81-2
otf-aurulent-nerd 3.2.1-2
otf-codenewroman-nerd 3.2.1-2
otf-comicshanns-nerd 3.2.1-2
otf-commit-mono-nerd 3.2.1-2
otf-droid-nerd 3.2.1-2
otf-firamono-nerd 3.2.1-2
otf-font-awesome 6.6.0-1
otf-geist-mono-nerd 3.2.1-2
otf-hasklig-nerd 3.2.1-2
otf-hermit-nerd 3.2.1-2
otf-monaspace-nerd 3.2.1-2
otf-opendyslexic-nerd 3.2.1-2
otf-overpass-nerd 3.2.1-2
papirus-icon-theme 20240501-1
pavucontrol 1:6.0-1
phonon-qt6-mpv-git 0.1.0.r0.g069aca4-1
pipewire 1:1.2.1-1
pipewire-alsa 1:1.2.1-1
pipewire-jack 1:1.2.1-1
pipewire-pulse 1:1.2.1-1
polkit-kde-agent 6.1.2-1
qbittorrent 4.6.5-1
ranger 1.9.3-11
ripgrep 14.1.0-1
rust 1:1.79.0-3
sddm-git 0.21.0.20.gb6b6c7c-1
slurp 1.5.0-1
spotify-launcher 0.5.4-1
starship 1.19.0-1
tela-circle-icon-theme-dracula 2024.04.19-2
ttf-0xproto-nerd 3.2.1-2
ttf-3270-nerd 3.2.1-2
ttf-agave-nerd 3.2.1-2
ttf-anonymouspro-nerd 3.2.1-2
ttf-arimo-nerd 3.2.1-2
ttf-bigblueterminal-nerd 3.2.1-2
ttf-bitstream-vera-mono-nerd 3.2.1-2
ttf-cascadia-code-nerd 3.2.1-2
ttf-cascadia-mono-nerd 3.2.1-2
ttf-cousine-nerd 3.2.1-2
ttf-d2coding-nerd 3.2.1-2
ttf-daddytime-mono-nerd 3.2.1-2
ttf-dejavu-nerd 3.2.1-2
ttf-envycoder-nerd 3.2.1-2
ttf-fantasque-nerd 3.2.1-2
ttf-firacode-nerd 3.2.1-2
ttf-font-awesome 6.6.0-1
ttf-go-nerd 3.2.1-2
ttf-gohu-nerd 3.2.1-2
ttf-hack-nerd 3.2.1-2
ttf-heavydata-nerd 3.2.1-2
ttf-iawriter-nerd 3.2.1-2
ttf-ibmplex-mono-nerd 3.2.1-2
ttf-inconsolata-go-nerd 3.2.1-2
ttf-inconsolata-lgc-nerd 3.2.1-2
ttf-inconsolata-nerd 3.2.1-2
ttf-intone-nerd 3.2.1-2
ttf-iosevka-nerd 3.2.1-2
ttf-iosevkaterm-nerd 3.2.1-2
ttf-iosevkatermslab-nerd 3.2.1-2
ttf-jetbrains-mono-nerd 3.2.1-2
ttf-lekton-nerd 3.2.1-2
ttf-liberation-mono-nerd 3.2.1-2
ttf-lilex-nerd 3.2.1-2
ttf-martian-mono-nerd 3.2.1-2
ttf-meslo-nerd 3.2.1-2
ttf-monofur-nerd 3.2.1-2
ttf-monoid-nerd 3.2.1-2
ttf-mononoki-nerd 3.2.1-2
ttf-mplus-nerd 3.2.1-2
ttf-nerd-fonts-symbols 3.2.1-1
ttf-nerd-fonts-symbols-mono 3.2.1-1
ttf-noto-nerd 3.2.1-2
ttf-profont-nerd 3.2.1-2
ttf-proggyclean-nerd 3.2.1-2
ttf-recursive-nerd 3.2.1-2
ttf-roboto-mono-nerd 3.2.1-2
ttf-sharetech-mono-nerd 3.2.1-2
ttf-sourcecodepro-nerd 3.2.1-2
ttf-space-mono-nerd 3.2.1-2
ttf-terminus-nerd 3.2.1-2
ttf-tinos-nerd 3.2.1-2
ttf-ubuntu-mono-nerd 3.2.1-2
ttf-ubuntu-nerd 3.2.1-2
ttf-victor-mono-nerd 3.2.1-2
ttf-zed-mono-nerd 3.2.1-2
vim 9.1.0532-1
waybar 0.10.3-1
wf-recorder 0.4.1-2
wireplumber 0.5.5-1
wl-clipboard 1:2.2.1-2
wleave-git 0.4.1.r0.ga44c38b-1
xdg-desktop-portal-hyprland 1.3.2-2
yad 14.1-1
yay 12.3.5-1
zig 0.13.0-1
zoxide 0.9.4-2
zram-generator 1.1.2-1
